Earthquake catalog extracted from SEISAN HYP output file.
CSV text with 5 header lines, including col names in last.
longitude, latitude (WGS 84); depth in km.
mmagnitude = local magnitude determined by SEISAN HYP.
n = number of stations used; rms = fit to arrival times
No,origin,longitude,latitude,depth,magnitude,N_phases,rms
272,2018-12-07 20:07:40.900,169.16,-21.594,63.3,2.6,11,0.7
273,2018-12-07 20:43:57.800,169.084,-21.67,66.3,3.8,17,0.5
274,2018-12-07 20:51:24.000,169.104,-22.07,-4.6,2.7,6,0.7
275,2018-12-07 22:05:54.900,170.202,-22.477,67.1,3.5,15,1.5
276,2018-12-07 22:34:45.400,169.271,-21.333,86.5,2.6,10,0.6
277,2018-12-07 23:22:58.500,170.118,-22.51,94.0,3.5,8,0.7
278,2018-12-07 23:44:16.200,170.052,-22.671,42.5,3.5,13,0.6
279,2018-12-08 00:20:32.300,169.399,-21.833,96.9,3.6,17,0.6
280,2018-12-08 04:20:29.000,169.489,-21.365,79.9,3.6,18,5.4
281,2018-12-08 05:37:29.200,170.157,-22.558,83.6,3.0,14,0.6
282,2018-12-08 06:00:02.000,168.959,-21.383,26.0,2.5,18,0.7
283,2018-12-08 07:06:39.800,168.885,-21.345,16.1,3.0,12,0.8
284,2018-12-08 07:07:29.400,169.927,-21.735,68.1,4.0,17,0.6
285,2018-12-08 09:45:35.200,169.189,-21.405,42.2,3.1,14,0.9
286,2018-12-08 09:47:43.300,169.201,-22.048,-2.9,2.7,10,0.4
287,2018-12-08 10:17:44.100,169.846,-21.827,97.3,3.8,8,8.4
288,2018-12-08 10:28:29.400,168.967,-21.456,43.9,2.6,14,0.4
289,2018-12-08 10:45:20.500,169.157,-21.698,69.5,3.5,16,0.5
290,2018-12-08 10:53:58.900,169.59,-22.074,77.4,2.7,18,0.9
291,2018-12-08 12:13:58.000,169.459,-21.841,38.5,2.6,6,5.4
292,2018-12-08 12:38:13.400,169.937,-22.24,88.2,3.7,16,7.6
293,2018-12-08 12:52:26.100,168.568,-21.053,8.9,2.2,11,1.2
294,2018-12-08 13:02:40.300,168.917,-21.562,18.2,2.7,17,0.5
295,2018-12-08 13:11:13.100,168.963,-21.664,8.0,2.7,19,0.7
296,2018-12-08 14:12:50.400,168.936,-21.596,15.1,2.2,15,0.9
297,2018-12-08 15:36:10.900,169.395,-22.061,-4.6,2.2,9,7.6
298,2018-12-08 15:58:36.400,169.243,-21.888,44.3,2.2,13,0.9
299,2018-12-08 17:04:46.200,168.976,-21.367,75.0,2.7,17,0.4
300,2018-12-08 18:01:51.900,168.959,-21.402,60.8,2.7,15,1.0
301,2018-12-08 18:12:56.100,169.447,-21.832,67.1,2.4,12,0.8
302,2018-12-08 19:53:01.500,169.309,-21.708,44.3,3.0,18,5.1
303,2018-12-08 20:13:58.100,169.54,-22.036,52.5,2.5,15,0.7
304,2018-12-08 22:49:48.200,169.413,-21.882,48.8,3.1,16,0.6
305,2018-12-09 00:23:42.500,169.169,-21.697,78.1,3.1,15,0.4
306,2018-12-09 00:26:46.800,169.258,-21.63,79.9,3.3,16,5.2
307,2018-12-09 01:07:17.900,169.35,-21.835,2.5,2.8,11,1.6
308,2018-12-09 02:54:49.000,169.101,-21.319,88.2,2.8,5,5.5
309,2018-12-09 03:34:01.800,168.976,-21.184,89.0,2.9,5,0.3
310,2018-12-09 06:16:42.100,168.943,-21.447,53.0,2.6,14,0.4
311,2018-12-09 07:03:03.500,170.124,-21.807,68.1,3.4,17,0.6
312,2018-12-09 07:09:53.100,169.734,-21.742,93.6,2.3,7,4.3
313,2018-12-09 07:51:56.000,169.391,-21.636,50.5,3.7,18,3.8
314,2018-12-09 09:58:54.900,168.431,-21.304,14.7,2.1,17,1.9
315,2018-12-09 10:42:53.800,169.221,-21.295,86.5,2.5,17,0.9
316,2018-12-09 11:14:22.700,168.88,-21.207,66.6,1.9,6,0.6
317,2018-12-09 11:51:55.900,169.02,-21.574,19.6,2.5,14,0.5
318,2018-12-09 11:59:09.400,169.217,-21.849,70.8,2.3,13,5.1
319,2018-12-09 13:13:14.400,170.138,-22.41,50.9,2.9,15,2.1
320,2018-12-09 13:37:05.800,169.313,-21.806,41.8,2.0,8,0.7
321,2018-12-09 13:41:26.700,169.11,-21.556,45.9,1.8,7,2.9
322,2018-12-09 14:02:53.000,169.176,-22.048,-4.6,1.9,6,0.9
323,2018-12-09 14:21:15.700,169.145,-21.525,57.1,2.7,18,3.2
324,2018-12-09 15:06:00.500,169.138,-21.654,58.3,2.3,12,1.0
325,2018-12-09 16:18:41.900,168.877,-21.627,16.0,2.6,16,0.5
326,2018-12-09 16:49:47.100,168.743,-21.256,10.5,2.6,18,0.8
327,2018-12-09 16:56:39.500,169.236,-21.69,78.2,2.0,7,0.5
328,2018-12-09 19:05:31.000,169.396,-21.448,63.3,3.3,14,1.2
329,2018-12-09 20:37:48.800,169.557,-21.858,76.6,4.1,18,3.1
330,2018-12-10 01:05:19.100,169.5,-21.949,77.0,2.6,9,1.1
331,2018-12-10 02:07:34.300,168.856,-21.208,79.9,2.5,7,1.8
